0.14499,1.2504,1.1449,0.14542,1.1729,1.0032,0.12967,1.1119,0.933,0.11145,28.514,29.935,0.12302,35.126,29.349,0.11232,35.534,31.104,1
0.16845,0.079911,0.14468,0.16675,0.087343,0.10215,0.14,0.086426,0.077023,0.11538,2.6461,2.604,0.11893,3.2637,2.2579,0.11403,2.4517,2.7096,1
0.17311,1.2316,1.7386,0.21139,1.6258,3.1338,0.17705,1.6573,1.3252,0.13404,30.212,21.143,0.13328,24.072,38.63,0.11985,33.189,26.149,1
0.19075,2.482,2.6178,0.22229,3.1109,5.4901,0.16396,2.024,1.7088,0.15571,64.432,42.829,0.15939,33.612,76.6,0.12645,42.37,38.503,1
0.17814,2.4577,2.56,0.25633,2.7423,5.5544,0.19564,1.8272,2.1646,0.14352,60.345,50.987,0.14,32.096,73.925,0.15077,39.447,45.216,1
0.19737,2.4667,2.9105,0.22875,3.3641,5.014,0.18357,2.0787,1.5647,0.16312,64.176,38.69,0.13875,35.976,78.275,0.13552,42.471,42.358,1
0.21306,2.4415,2.4558,0.21743,3.4947,4.9403,0.20486,2.4447,1.785,0.1498,69.653,45.517,0.15038,32.792,63.251,0.13561,29.533,49.457,1
0.19205,2.4014,2.5079,0.21472,3.9128,4.1781,0.19474,1.9911,1.6305,0.15653,54.516,50.461,0.14577,25.423,74.31,0.14923,30.699,48.667,1
0.17455,2.7461,1.9926,0.249,3.276,4.8225,0.18878,1.8191,1.8331,0.15118,45.863,46.121,0.13684,33.059,71.262,0.13,38.056,36.307,1
0.18463,2.7573,1.9132,0.22706,3.027,3.7857,0.16717,1.752,1.6623,0.1617,49.729,47.153,0.13207,26.978,62.38,0.13655,39.984,43.981,1
0.18405,2.4643,2.0992,0.24062,2.5023,5.5265,0.17178,1.8778,1.8545,0.14923,57.425,49.925,0.1375,32.414,73.743,0.13719,47.866,41.002,1
0.15918,3.0118,2.0275,0.25552,2.4306,5.157,0.18357,1.8634,1.8595,0.15176,51.79,51.605,0.13789,32.66,66.356,0.11515,40.983,39.367,1
0.18,2.769,2.3066,0.23273,2.4689,4.9876,0.19098,1.5657,2.0048,0.15118,60.25,42.251,0.13964,25.79,69.744,0.14444,35.922,37.371,1
0.17089,2.8569,2.251,0.21886,2.9248,4.3838,0.19146,1.6158,1.6291,0.13796,61.72,46.166,0.13183,30.014,68.618,0.12918,43.137,34.3,1
0.20316,2.5764,2.5395,0.22441,2.9092,5.4762,0.17409,1.6744,1.5883,0.1526,59.689,51.661,0.16061,41.465,77.412,0.13414,46.775,41.034,1
0.16,3.3336,2.0753,0.23394,2.7228,5.2298,0.16457,2.0584,1.8743,0.14731,56.367,52.084,0.13339,28.412,72.264,0.11362,36.65,44.052,1
0.20459,2.5209,2.4049,0.21771,3.1825,5.0998,0.1538,2.1626,1.9066,0.1532,54.683,68.946,0.15255,35.348,80.37,0.12206,43.609,48.478,1
0.17022,1.2812,0.91196,0.1786,1.153,1.4738,0.14574,1.0722,0.8712,0.14407,20.741,23.281,0.1279,21.469,34.424,0.11057,28.094,22.682,1
0.1466,1.1215,0.95138,0.153,1.1466,0.9466,0.13466,1.0046,1.1523,0.12754,26.05,22.001,0.12127,26.563,23.43,0.11833,35.969,31.957,1
0.14499,1.2504,1.1449,0.14542,1.1729,1.0032,0.12967,1.1119,0.933,0.11145,28.514,29.935,0.12302,35.126,29.349,0.11232,35.534,31.104,2
